GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
389151,5.818970522701028,3.7401507782960426,1.877417972309325,1.992177998432313,0.046351531353388056,
26716,3.1502331518136053,3.736917761007288,2.336441796582588,1.599405457680613,,
26333,1.8121042599964343,3.7360422913121427,2.295398345709637,1.6276226295515261,,
28773,52.90607824282365,3.7228080047944365,1.2119923952557732,3.0716430394835874,0.0021288413853450456,0.05543650922142721
28814,700.1358138397887,3.711660476316796,1.1743115648863012,3.1607118479465584,0.0015738410990811624,0.04645677997757641
2947,1386.206612020322,3.707834723075459,0.936517782503894,3.9591717235332284,,
107986589,2972.955986703241,3.69436728147887,0.9330497259693069,3.9594537982859856,7.512137500174212e-05,0.008045792192370305
28824,79.32478560791144,3.6887674550956095,0.9526350038064694,3.872172910250308,0.0001078693819097102,0.009427728490382844
28299,18894.643436917646,3.6804779922973316,1.2341214426390965,2.9822656548506643,0.0028612360427599623,0.06445397812527448
84767,6.46212566744795,3.6774627313621,1.818423860077475,2.0223352828231254,,
4210,819.5357722677786,3.665198389169425,0.8497776659989144,4.313126286816424,1.6096211284130264e-05,0.0034052234806850796
6622,2096.305698196788,3.6623005696307853,0.9030190567320806,4.055618253377973,5.000186718786943e-05,0.006007323093071004
2568,538.4877611141594,3.6614983268352552,1.0388621773905402,3.524527513391977,,
28395,1463.3711605657054,3.6556364483811463,0.9946375930408439,3.6753451447627223,0.00023752808061479715,0.014401897299083479
28778,515.2304212295344,3.6516550184528094,1.1356320025842945,3.2155266936322167,0.0013020538471225252,0.04121076364916429
28889,14.038924563590767,3.6466181977831424,2.561516887153207,1.4236166921530176,,
150527,2.1335518603057784,3.6432496397650396,1.782374040606203,2.044043257343411,,
28916,247.28522897729238,3.642665883168904,1.231176165548949,2.958687785792811,0.003089519407270068,0.06783027799336445
144448,40.1847818864404,3.6419540596071758,1.7528107952800154,2.0777793412810226,,
4778,102.43078965770107,3.641659972499575,1.0879461348088681,3.347279663932394,,
146177,259.97436436512317,3.633242443713038,1.1230647224971302,3.235114032995834,,
56955,12.441704136739085,3.6277647269422952,1.103640776627665,3.2870883386779695,,
400891,23.62712368980831,3.624276416922146,1.6093756941774349,2.2519766080937016,,
114548,1885.5524630611055,3.618325614367805,0.959245799593357,3.772052602056411,0.00016191011073452507,0.01171933441202247
389118,180.8606062797602,3.6136194089736877,1.0709130115170071,3.3743351421744303,,
3507,13775.416275545584,3.601312240082957,0.9552766313738609,3.769915563519666,0.00016330278659352986,0.01171933441202247
646743,2.0772108097385678,3.597980345758634,2.0202430142932575,1.7809641316925018,,
83659,101.09496662480903,3.595603301737232,1.5218799335541429,2.3626064201662684,,
6291,9.57805537056629,3.5803106260670012,1.330655285727996,2.6906372104539664,,
2213,4223.706328678474,3.573095883211151,0.8067048064631871,4.429248288325655,9.456210781941672e-06,0.0026673366731729095
3361,1.101225115860897,3.570447426906614,2.7048455999593273,1.3200189419167967,0.1868286938508965,
84658,291.4406773794717,3.5696538270715465,0.9236807541749814,3.8645969518547685,0.00011127278621939935,0.009498694027141095
254956,65.6895288349227,3.5590765416505064,1.3007237968450907,2.7362277451085752,,
326624,174.81768330807827,3.5586183547873116,0.7739004404716382,4.598289610248293,4.259735830851356e-06,0.0017272341349137488
442721,33.61068745943386,3.5526646370020707,0.8637784423822137,4.112935056823345,3.906603121685829e-05,0.0053231825276947265
3579,109.91939477552785,3.542559907185058,0.7317501297072696,4.841215277409283,1.2904747650453548e-06,0.0008970182268599194
92304,937.4949243986579,3.5342663910062804,2.077504618852208,1.7012074769580598,,
353514,588.2651127102479,3.5340968207139016,0.9565130831814893,3.694771020757005,0.00022008503275239142,0.013913627007543707
283303,1.320507313499436,3.5317968711033783,2.276987986831259,1.5510827863516126,0.12088184580447633,
81626,3.8341161999068007,3.530892645183312,1.8688987274765543,1.889290518138901,,
1378,15399.22845323089,3.5305259483529197,0.8465696281098813,4.170390516176977,3.0407811549231783e-05,0.004669114881530102
107986833,1.2876676617893377,3.528084901682897,2.285744153666901,1.5435169749960742,,
339260,5.874897009470177,3.526835701115954,1.1726872649295406,3.007481880796121,,
407008,23.649997916281535,3.525611897626337,0.9049198034122724,3.8960490027204133,9.777461495779831e-05,0.008861959362599656
347127,10.879341908804415,3.5221800671867824,1.660962005212304,2.120566308039405,,
2215,1245.1601468910424,3.5208592246876647,0.7067865341972485,4.981502977679921,6.309231334365924e-07,0.000646297734004021
168090,52.91199389693112,3.519331861793211,1.5495560222874527,2.271187237617893,,
644524,9.249947182745066,3.516588403893976,2.8410410098018604,1.2377816412228522,,
389874,1.0691575756699372,3.516335252351697,2.2983916236853776,1.5299112719151824,0.12603869288931357,
8794,820.5783969977,3.5135094875190034,0.9318170881154467,3.7705999732467883,,
