,log2FC
28886,3.284896753673446
84658,3.2841616371854574
28796,3.2756141258873717
28823,3.262435709264002
28931,3.257256393559671
28950,3.2566061113650466
654816,3.2562604622102036
3494,3.252818873053366
102723169,3.2515145062729696
28444,3.2459091850297535
2357,3.2384852024097395
654817,3.221753964317074
28602,3.2111197911712144
5197,3.1882718282484617
26279,3.1858327820044923
28935,3.1718547125474714
28476,3.1709960696577664
28947,3.1709069934896785
3117,3.169514226722585
28948,3.161961969061413
28439,3.161695308198773
3493,3.1595169324339434
723778,3.1555524244822353
28479,3.1537813717299787
10941,3.152658740042731
3542,3.12667197939109
28477,3.125381174155235
3514,3.1235227049973506
2219,3.1164764507417484
3502,3.1143380048396114
3139,3.113716473831282
100423062,3.0990329028889363
2999,3.097945381242763
3537,3.0966547252191177
28481,3.092250070486995
28940,3.088163609628591
28939,3.074699038311577
28449,3.069202706087495
11027,3.0681627103797213
574537,3.0665274342986284
28445,3.0643458263235424
28395,3.052338438968519
55363,3.051647695158931
407008,3.0386366019338373
4210,3.0366905284992365
6622,3.0365511016482696
28946,3.0244757665739828
9402,3.015909673929035
28461,3.014139610816028
64478,3.013700690075261
6351,3.0040013193570623
973,2.9907358095129943
28916,2.9881127921363326
3792,2.987331064206633
959,2.9740412646325103
28914,2.9719371341019905
28833,2.9666957293796976
28420,2.9655418211601887
28421,2.964340560028185
313,2.9568499976256106
120425,2.951050060995623
28870,2.946549175563411
28465,2.9427037494283548
2268,2.9396295843690012
1378,2.935111100451504
353514,2.9336545286611226
28452,2.9319418596057503
1441,2.9298115950089
28949,2.9214532187992504
1379,2.9140284597524584
4069,2.903499955129666
597,2.9034073235009084
5008,2.902638879818341
28383,2.8952331232336164
28809,2.894168877996724
28877,2.891577411997628
3119,2.8864044684942023
107986589,2.8841912324805126
5551,2.874577761228509
401124,2.8685208413075776
51297,2.8607384901900894
366,2.8535249991300304
729974,2.853284498368123
10462,2.851784289117645
10870,2.8499902312368564
414062,2.845932244999511
3501,2.8415096774333204
925,2.8370803918443572
916,2.835175453198305
29125,2.8309966718845145
28900,2.822658868760688
28455,2.8203860936465146
28410,2.817203372793803
3689,2.817034072785912
28639,2.8166620768459874
60675,2.816141759050487
28834,2.8109294653874484
28922,2.8061045484585523
915,2.805656296536725
917,2.794739849105854
284904,2.789014747413854
28475,2.7861108692693213
64805,2.7860472552293425
3500,2.784295023609106
28773,2.7793069073620473
3561,2.7738699961559954
8530,2.7730774086956345
10788,2.772778091369725
11025,2.7713140143806836
5023,2.7700554573284952
1066,2.7700230333714764
53829,2.7696205359436323
28380,2.7615399270597276
9560,2.757876049631979
149628,2.7520318183779056
5341,2.751426198696052
7133,2.7487914195731182
6708,2.7429319024447825
115362,2.7427660127006597
1520,2.740279776094628
260436,2.7384396361551397
28772,2.736873928555303
2015,2.7339205846046237
64092,2.7293556657675024
963,2.722858317818414
89857,2.7159356077889756
23547,2.714216925703181
919,2.7140562074201506
7503,2.710075425707849
51311,2.7071668358265715
28674,2.705665059041289
28660,2.7034338255131134
102724638,2.701430437330198
114836,2.6974160363876187
3683,2.6924777690232187
3002,2.691097422063983
6348,2.684255657246915
6404,2.682510481252498
1439,2.679735133202442
28458,2.675380990328484
9834,2.6753511985628755
944,2.6750568148555036
51237,2.6743012498929044
57823,2.674144284311902
5788,2.6731008710679536
27334,2.6724085231274417
102723407,2.6692376430212867
326624,2.6629560223824127
969,2.658752492034088
28692,2.6575696715982478
3702,2.6565890829607346
914,2.654411444594656
160364,2.6525099739505587
241,2.6519484659418238
10288,2.6501519305242045
3937,2.6493194699246647
102465993,2.6450723701173207
28892,2.644395575412843
212,2.6435633924865956
3505,2.6432204035251488
51816,2.641960986526094
2207,2.6418667438214207
671,2.632403402170245
28463,2.628978091539694
7805,2.62392278392422
219972,2.617751597723325
100506115,2.6144985960442018
92747,2.6131654113702467
7305,2.6086598190294765
342510,2.608383195518342
28638,2.6083210372926224
8807,2.607030945327119
51327,2.606244616082595
3001,2.6019403075074417
1511,2.595864576216834
28811,2.5956897695444874
28689,2.5929091369057433
105372593,2.5922116459326907
79168,2.5901840114276435
338339,2.587470957600231
2214,2.585941947315707
9595,2.579963645742276
84636,2.5760214447197676
28820,2.5747534471474873
28903,2.5677572575361474
2003,2.566346621123893
926,2.566320078145018
3687,2.565901594690695
28408,2.5628836323162245
3123,2.5612861693589704
5880,2.5592705000840326
10666,2.5556604868066186
51266,2.550708830446959
28673,2.5476145938586927
9535,2.5473235851084572
126,2.5445715106990665
150372,2.5444194860370173
3579,2.543153330881034
7940,2.5431264777139635
3503,2.5406184298834695
102723170,2.537120831815777
5552,2.533250306859852
3115,2.5311962490696303
55600,2.5308570580027125
388077,2.5270775792382496
2162,2.5256556328503237
28919,2.5217867918388626
89872,2.5171594825594052
3113,2.5155602738933815
3587,2.51450522917316
2921,2.5139196963430486
28803,2.510378249064198
7454,2.5103237081756866
28412,2.5092503482318262
27240,2.5073008081025345
6688,2.5028730365459584
28423,2.4980741977971714
3560,2.49602543722216
126364,2.4939626884317727
3662,2.492834576627039
356,2.4912441437299524
4542,2.490631524389469
433,2.489621813743159
54504,2.488946753422221
114548,2.487464689010168
342931,2.483818487319521
146722,2.483244885358329
284415,2.4810884783623597
102724760,2.4789831755540446
728,2.4770430854136336
51744,2.4745616370217345
28927,2.468131649330382
100463488,2.4640689192283687
6503,2.46091815589089
27284,2.4607262248802466
115727,2.4575716744677782
929,2.456483295757904
5199,2.454903289814978
27128,2.4542673278225653
6402,2.4534509620116696
4688,2.449907067201572
6504,2.4492104914549753
3576,2.446941942079513
118788,2.446188895675295
940,2.4417588841454263
6356,2.4404489943770638
1234,2.439221661494005
5270,2.4337594016954895
7535,2.430936554936812
3684,2.4301358376190905
3137,2.4300123579517514
28563,2.428051057509947
28398,2.426595759481499
